id,name,description,unit_price,image_url,category_id
1,PSYCHO ONE 3/2MM BACK ZIP FULL WETSUIT,The Unparalleled Premium in Lightweight Flexibility. Patented Z.E.N. Zip Closure (Back Zip). Anti-Flush Barrier (Z.E.N. Zip).,379.95,https://cdn.shopify.com/s/files/1/2034/7683/products/4964_A00_F_WEB_860x.jpg?v=1581484232,2
2,PSYCHO ONE 4/3MM BACK ZIP FULL WETSUIT,The Unparalleled Premium in Lightweight Flexibility. Patented Z.E.N. Zip Closure (Back Zip). Anti-Flush Barrier (Z.E.N. Zip). Minimal Seam Design. Seamless Paddle Zones.,399.95,https://cdn.shopify.com/s/files/1/2034/7683/products/4965-a00-f_1920x.jpg?v=1581484230,2
3,PSYCHO TECH 3/2+MM BACK ZIP FULL WETSUIT,O'Neill's Psycho Tech combines our exclusive TechnoButter 3 and added heat-generating TechnoButter Air-Firewall. It's offered in a wide range of styles with the hi-tech features you need to stay warm and toasty in any condition.,469.95,https://cdn.shopify.com/s/files/1/2034/7683/products/5334-a00-f_1080x.jpg?v=1581485377,2
4,REACTOR-2 3/2MM BACK ZIP FULL WETSUIT,The Reactor-2 is engineered for performance in a value driven package. A perfect combination of stretch and durability. Fresh colors and graphics with style that's built to last.,139.95,https://cdn.shopify.com/s/files/1/2034/7683/products/5040_A00_F_WEB_860x.jpg?v=1581484281,2
5,HEAT 3/2MM BACK ZIP FULL WETSUIT,"The Heat is stuffed with high-end features and materials: Now built with TechnoButter 3 Neoprene,TechnoButter Firewall in the chest and back, this makes the suit warmer and more flexible than ever before.",339.95,https://cdn.shopify.com/s/files/1/2034/7683/products/5341_A00_F_WEB_1920x.jpg?v=1581485389,2
6,HYPERFREAK 4/3MM COMP ZIPLESS FULL WETSUIT,"O'Neill's Zipless Entry wetsuit is the most unique, light weight, fully sealed wetsuit on the market. This advanced technology allows you preform at the highest level with materials so comfortable and light, you'd swear you were surfing naked.
",319.95,https://cdn.shopify.com/s/files/1/2034/7683/products/4971-a00-fromt_1920x.jpg?v=1581484242,2
7,REACTOR-2 3/2MM BACK ZIP FULL WETSUIT,The Reactor-2 is engineered for performance in a value driven package. A perfect combination of stretch and durability. Fresh colors and graphics with style that's built to last.,139.95,https://cdn.shopify.com/s/files/1/2034/7683/products/5040_EJ7_F_WEB_860x.jpg?v=1581484283,2
8,REACTOR-2 3/2MM BACK ZIP FULL WETSUIT,"The Reactor-2 is engineered for performance in a value driven package. A perfect combination of stretch and durability. Fresh colors and graphics with style that's built to last.
",139.95,https://cdn.shopify.com/s/files/1/2034/7683/products/5040_L43_F_WEB_1440x.jpg?v=1600132293,2
9,HYPERFREAK 5/4+MM CHEST ZIP W/HOOD FULL WETSUIT,O'Neill's PsycThe HyperFreak F.U.Z.E. (Chest Zip) is constructed with super light TechnoButter 3 and TechnoButter 3X neoprene. ,389.95,https://cdn.shopify.com/s/files/1/2034/7683/products/5346-a00-f_a336d561-ee1a-40be-87ef-6f7b13dec854_1920x.jpg?v=1581485391,2
10,EPIC 3/2MM BACK ZIP FULL WETSUIT,"The Epic has many of the same great features as our high-end wetsuits including UltraFlex Neoprene, double seal neck closure, LSD (lumbar seamless design) and re-engineered covert blackout zip.",194.95,https://cdn.shopify.com/s/files/1/2034/7683/products/4211B_GR1_1_1440x.jpg?v=1600133855,2
